teamID,yearID,lgID,franchID,G,Playoffs,DivWin,ATT,ATT_Group
BAL,2014,AL,BAL,162,Division Winner,Y,2464473,Average
DET,2014,AL,DET,162,Division Winner,Y,2917209,Good
LAA,2014,AL,ANA,162,Division Winner,Y,3095935,Good
LAN,2014,NL,LAD,162,Division Winner,Y,3782337,Good
SLN,2014,NL,STL,162,Division Winner,Y,3540649,Good
WAS,2014,NL,WSN,162,Division Winner,Y,2579389,Average
ARI,2014,NL,ARI,162,Missed Playoffs,N,2073730,Average
ATL,2014,NL,ATL,162,Missed Playoffs,N,2354305,Average
BOS,2014,AL,BOS,162,Missed Playoffs,N,2956089,Good
CHA,2014,AL,CHW,162,Missed Playoffs,N,2652113,Average
CHN,2014,NL,CHC,162,Missed Playoffs,N,1650821,Poor
CIN,2014,NL,CIN,162,Missed Playoffs,N,2476664,Average
CLE,2014,AL,CLE,162,Missed Playoffs,N,1437393,Poor
COL,2014,NL,COL,162,Missed Playoffs,N,2680329,Average
HOU,2014,AL,HOU,162,Missed Playoffs,N,1751829,Poor
MIA,2014,NL,FLA,162,Missed Playoffs,N,1732283,Poor
MIL,2014,NL,MIL,162,Missed Playoffs,N,2797384,Good
MIN,2014,AL,MIN,162,Missed Playoffs,N,2250606,Average
NYA,2014,AL,NYY,162,Missed Playoffs,N,3401624,Good
NYN,2014,NL,NYM,162,Missed Playoffs,N,2148808,Average
PHI,2014,NL,PHI,162,Missed Playoffs,N,2423852,Average
SDN,2014,NL,SDP,162,Missed Playoffs,N,2195373,Average
SEA,2014,AL,SEA,162,Missed Playoffs,N,2064334,Poor
TBA,2014,AL,TBD,162,Missed Playoffs,N,1446464,Poor
TEX,2014,AL,TEX,162,Missed Playoffs,N,2718733,Average
TOR,2014,AL,TOR,162,Missed Playoffs,N,2375525,Average
KCA,2014,AL,KCR,162,Wild Card,N,1956482,Poor
OAK,2014,AL,OAK,162,Wild Card,N,2003628,Poor
PIT,2014,NL,PIT,162,Wild Card,N,2442564,Average
SFN,2014,NL,SFG,162,Wild Card,N,3368697,Good
